% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
1,1000,structures.Agent@4cdf35a9,structures.Agent@66cd51c3,null,
1,1000,structures.Agent@4cdf35a9,structures.Agent@1c655221,null,
1,1000,structures.Agent@4cdf35a9,structures.Agent@58d25a40,null,
1,1000,structures.Agent@4c98385c,structures.Agent@6996db8,null,
1,1000,structures.Agent@4c98385c,structures.Agent@64a294a6,null,
1,1000,structures.Agent@5fcfe4b2,structures.Agent@6996db8,null,
1,1000,structures.Agent@5fcfe4b2,structures.Agent@1b701da1,null,
1,1000,structures.Agent@6bf2d08e,structures.Agent@4e515669,null,
1,1000,structures.Agent@5eb5c224,structures.Agent@58d25a40,null,
1,1000,structures.Agent@5eb5c224,structures.Agent@5fcfe4b2,null,
1,1000,structures.Agent@73a8dfcc,structures.Agent@2530c12,null,
1,1000,structures.Agent@73a8dfcc,structures.Agent@573fd745,null,
1,1000,structures.Agent@ea30797,structures.Agent@22927a81,null,
1,1000,structures.Agent@ea30797,structures.Agent@f2a0b8e,null,
1,1000,structures.Agent@7e774085,structures.Agent@dcf3e99,null,
1,1000,structures.Agent@3f8f9dd6,structures.Agent@4cdf35a9,null,
1,1000,structures.Agent@3f8f9dd6,structures.Agent@c2e1f26,null,
1,1000,structures.Agent@aec6354,structures.Agent@4f2410ac,null,
1,1000,structures.Agent@aec6354,structures.Agent@58d25a40,null,
1,1000,structures.Agent@58d25a40,structures.Agent@6996db8,null,
1,1000,structures.Agent@58d25a40,structures.Agent@e2144e4,null,
1,1000,structures.Agent@1b701da1,structures.Agent@1c655221,null,
1,1000,structures.Agent@726f3b58,structures.Agent@51521cc1,null,
1,1000,structures.Agent@442d9b6e,structures.Agent@7dc5e7b4,null,
1,1000,structures.Agent@ee7d9f1,structures.Agent@15615099,null,
1,1000,structures.Agent@ee7d9f1,structures.Agent@7fbe847c,null,
1,1000,structures.Agent@1edf1c96,structures.Agent@20fa23c1,null,
1,1000,structures.Agent@1edf1c96,structures.Agent@3f8f9dd6,null,
1,1000,structures.Agent@1edf1c96,structures.Agent@46ee7fe8,null,
1,1000,structures.Agent@1963006a,structures.Agent@2d8e6db6,null,
1,1000,structures.Agent@1963006a,structures.Agent@15327b79,null,
1,1000,structures.Agent@1963006a,structures.Agent@61e4705b,null,
1,1000,structures.Agent@1963006a,structures.Agent@6bf2d08e,null,
1,1000,structures.Agent@7fbe847c,structures.Agent@58d25a40,null,
1,1000,structures.Agent@7fbe847c,structures.Agent@759ebb3d,null,
1,1000,structures.Agent@41975e01,structures.Agent@32a1bec0,null,
1,1000,structures.Agent@c2e1f26,structures.Agent@46ee7fe8,null,
1,1000,structures.Agent@dcf3e99,structures.Agent@3d82c5f3,null,
1,1000,structures.Agent@6d9c638,structures.Agent@759ebb3d,null,
1,1000,structures.Agent@6d9c638,structures.Agent@2b05039f,null,
1,1000,structures.Agent@6d9c638,structures.Agent@7fbe847c,null,
1,1000,structures.Agent@7dc5e7b4,structures.Agent@4e515669,null,
1,1000,structures.Agent@7dc5e7b4,structures.Agent@f2a0b8e,null,
1,1000,structures.Agent@1ee0005,structures.Agent@442d9b6e,null,
1,1000,structures.Agent@1ee0005,structures.Agent@51521cc1,null,
1,1000,structures.Agent@75a1cd57,structures.Agent@41975e01,null,
1,1000,structures.Agent@75a1cd57,structures.Agent@58d25a40,null,
2,1000,structures.Agent@3d012ddd,structures.Agent@379619aa,null,
2,1000,structures.Agent@3d012ddd,structures.Agent@5aaa6d82,null,
2,1000,structures.Agent@6f2b958e,structures.Agent@1175e2db,null,
2,1000,structures.Agent@1eb44e46,structures.Agent@36aa7bc2,null,
2,1000,structures.Agent@1eb44e46,structures.Agent@48cf768c,null,
2,1000,structures.Agent@6504e3b2,structures.Agent@156643d4,null,
2,1000,structures.Agent@6504e3b2,structures.Agent@16f65612,null,
2,1000,structures.Agent@6504e3b2,structures.Agent@4aa8f0b4,null,
2,1000,structures.Agent@515f550a,structures.Agent@6bc168e5,null,
2,1000,structures.Agent@515f550a,structures.Agent@606d8acf,null,
2,1000,structures.Agent@515f550a,structures.Agent@5c8da962,null,
2,1000,structures.Agent@1c4af82c,structures.Agent@5fdef03a,null,
2,1000,structures.Agent@1c4af82c,structures.Agent@7c53a9eb,null,
2,1000,structures.Agent@cac736f,structures.Agent@3b192d32,null,
2,1000,structures.Agent@cac736f,structures.Agent@515f550a,null,
2,1000,structures.Agent@5e265ba4,structures.Agent@12bb4df8,null,
2,1000,structures.Agent@156643d4,structures.Agent@33833882,null,
2,1000,structures.Agent@156643d4,structures.Agent@7d6f77cc,null,
2,1000,structures.Agent@123a439b,structures.Agent@6f75e721,null,
2,1000,structures.Agent@7de26db8,structures.Agent@244038d0,null,
