% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,,Results
Seed,Timestep,Agent#,Agent,sensitivity,signal,
1,1000,72,structures.Agent@5fcfe4b2,1.0,0.0,
1,1000,73,structures.Agent@6bf2d08e,1.0,0.0,
1,1000,74,structures.Agent@5eb5c224,1.0,0.0,
1,1000,75,structures.Agent@53e25b76,1.0,0.0,
1,1000,76,structures.Agent@73a8dfcc,1.0,0.0,
1,1000,77,structures.Agent@ea30797,1.0,0.0,
1,1000,78,structures.Agent@7e774085,1.0,0.0,
1,1000,79,structures.Agent@3f8f9dd6,1.0,0.0,
1,1000,80,structures.Agent@aec6354,1.0,0.0,
1,1000,81,structures.Agent@1c655221,1.0,0.0,
1,1000,82,structures.Agent@58d25a40,1.0,0.0,
1,1000,83,structures.Agent@1b701da1,1.0,0.0,
1,1000,84,structures.Agent@726f3b58,1.0,0.0,
1,1000,85,structures.Agent@442d9b6e,1.0,0.0,
1,1000,86,structures.Agent@ee7d9f1,1.0,0.0,
1,1000,87,structures.Agent@15615099,1.0,0.0,
1,1000,88,structures.Agent@1edf1c96,1.0,0.0,
1,1000,89,structures.Agent@368102c8,1.0,0.0,
1,1000,90,structures.Agent@6996db8,1.0,0.0,
1,1000,91,structures.Agent@1963006a,1.0,0.0,
1,1000,92,structures.Agent@7fbe847c,1.0,0.0,
1,1000,93,structures.Agent@41975e01,1.0,0.0,
1,1000,94,structures.Agent@c2e1f26,1.0,0.0,
1,1000,95,structures.Agent@dcf3e99,1.0,0.0,
1,1000,96,structures.Agent@6d9c638,1.0,0.0,
1,1000,97,structures.Agent@7dc5e7b4,1.0,0.0,
1,1000,98,structures.Agent@1ee0005,1.0,0.0,
1,1000,99,structures.Agent@75a1cd57,1.0,0.0,
2,1000,0,structures.Agent@3d012ddd,1.0,0.0,
2,1000,1,structures.Agent@6f2b958e,1.0,1.0,
2,1000,2,structures.Agent@1eb44e46,1.0,1.0,
2,1000,3,structures.Agent@6504e3b2,1.0,0.0,
2,1000,4,structures.Agent@515f550a,1.0,1.0,
2,1000,5,structures.Agent@626b2d4a,0.6547929696302335,0.0,
2,1000,6,structures.Agent@5e91993f,1.0,1.0,
2,1000,7,structures.Agent@1c4af82c,1.0,1.0,
2,1000,8,structures.Agent@379619aa,1.0,0.0,
2,1000,9,structures.Agent@cac736f,1.0,0.0,
2,1000,10,structures.Agent@5e265ba4,1.0,0.0,
2,1000,11,structures.Agent@156643d4,1.0,0.0,
2,1000,12,structures.Agent@123a439b,1.0,0.0,
2,1000,13,structures.Agent@7de26db8,1.0,1.0,
2,1000,14,structures.Agent@1175e2db,1.0,0.0,
2,1000,15,structures.Agent@36aa7bc2,1.0,1.0,
2,1000,16,structures.Agent@76ccd017,1.0,0.0,
2,1000,17,structures.Agent@182decdb,1.0,1.0,
2,1000,18,structures.Agent@26f0a63f,1.0,1.0,
2,1000,19,structures.Agent@4361bd48,1.0,1.0,
2,1000,20,structures.Agent@53bd815b,1.0,0.0,
2,1000,21,structures.Agent@2401f4c3,1.0,0.0,
2,1000,22,structures.Agent@7637f22,1.0,0.0,
2,1000,23,structures.Agent@4926097b,1.0,0.0,
2,1000,24,structures.Agent@762efe5d,1.0,0.0,
2,1000,25,structures.Agent@5d22bbb7,1.0,0.0,
2,1000,26,structures.Agent@41a4555e,1.0,0.0,
2,1000,27,structures.Agent@3830f1c0,1.0,0.0,
2,1000,28,structures.Agent@39ed3c8d,1.0,0.0,
2,1000,29,structures.Agent@71dac704,1.0,0.0,
2,1000,30,structures.Agent@123772c4,1.0,0.0,
2,1000,31,structures.Agent@2d363fb3,1.0,0.0,
2,1000,32,structures.Agent@7d6f77cc,1.0,0.0,
2,1000,33,structures.Agent@5aaa6d82,1.0,0.0,
2,1000,34,structures.Agent@73a28541,0.666993653149557,0.0,
2,1000,35,structures.Agent@6f75e721,1.0,0.0,
2,1000,36,structures.Agent@69222c14,1.0,0.0,
2,1000,37,structures.Agent@606d8acf,1.0,0.0,
2,1000,38,structures.Agent@782830e,1.0,0.0,
2,1000,39,structures.Agent@470e2030,1.0,0.0,
2,1000,40,structures.Agent@3fb4f649,0.6586266434104892,0.0,
2,1000,41,structures.Agent@33833882,1.0,0.0,
2,1000,42,structures.Agent@200a570f,1.0,0.0,
2,1000,43,structures.Agent@16b3fc9e,1.0,0.0,
2,1000,44,structures.Agent@e2d56bf,1.0,0.0,
2,1000,45,structures.Agent@244038d0,1.0,0.0,
2,1000,46,structures.Agent@5680a178,1.0,0.0,
2,1000,47,structures.Agent@5fdef03a,1.0,0.0,
2,1000,48,structures.Agent@3b22cdd0,1.0,0.0,
2,1000,49,structures.Agent@1e81f4dc,1.0,0.0,
2,1000,50,structures.Agent@4d591d15,1.0,0.0,
2,1000,51,structures.Agent@65ae6ba4,1.0,0.0,
2,1000,52,structures.Agent@48cf768c,1.0,0.0,
2,1000,53,structures.Agent@59f95c5d,1.0,0.0,
2,1000,54,structures.Agent@5ccd43c2,1.0,0.0,
2,1000,55,structures.Agent@4aa8f0b4,1.0,0.0,
2,1000,56,structures.Agent@7960847b,1.0,0.0,
2,1000,57,structures.Agent@6a6824be,1.0,0.0,
2,1000,58,structures.Agent@5c8da962,1.0,0.0,
2,1000,59,structures.Agent@512ddf17,1.0,0.0,
2,1000,60,structures.Agent@2c13da15,1.0,0.0,
2,1000,61,structures.Agent@77556fd,1.0,0.0,
2,1000,62,structures.Agent@368239c8,1.0,0.0,
2,1000,63,structures.Agent@9e89d68,1.0,0.0,
2,1000,64,structures.Agent@3b192d32,1.0,0.0,
2,1000,65,structures.Agent@16f65612,1.0,0.0,
2,1000,66,structures.Agent@311d617d,1.0,0.0,
2,1000,67,structures.Agent@7c53a9eb,1.0,0.0,
2,1000,68,structures.Agent@ed17bee,1.0,0.0,
2,1000,69,structures.Agent@2a33fae0,1.0,0.0,
2,1000,70,structures.Agent@707f7052,1.0,0.0,
2,1000,71,structures.Agent@11028347,1.0,0.0,
2,1000,72,structures.Agent@14899482,1.0,0.0,
2,1000,73,structures.Agent@21588809,1.0,0.0,
2,1000,74,structures.Agent@2aae9190,1.0,0.0,
2,1000,75,structures.Agent@2f333739,1.0,0.0,
2,1000,76,structures.Agent@77468bd9,1.0,0.0,
2,1000,77,structures.Agent@12bb4df8,1.0,0.0,
